sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1207.0,404018.0,93.78,-10.14,10.14,-32.8,103.28,0
509.0,186619.0,213.77,-2.01,2.01,-6.35,217.46,0
2014.0,650471.0,109.93,11.08,11.08,35.85,78.65,0
193.0,85070.0,388.34,-0.94,0.94,-2.89,389.52,0
1958.0,633383.0,34.27,0.0,0.0,0.0,33.63,1
1708.0,557286.0,32.26,0.0,0.0,0.0,32.83,1
764.0,266701.0,195.63,0.0,0.0,0.0,196.27,0
3284.0,1045576.0,138.21,-0.94,0.94,-3.03,140.19,0
1717.0,560031.0,29.19,0.0,0.0,0.0,29.4,1
3189.0,1015809.0,212.83,-0.94,0.94,-2.98,214.81,0
815.0,282703.0,125.04,0.0,0.0,0.0,135.92,0
3337.0,1062004.0,98.85,-0.94,0.94,-3.05,100.42,0
1890.0,612650.0,26.14,0.94,0.94,3.1,24.74,1
219.0,93528.0,377.27,-0.94,0.94,-2.9,378.66,0
3375.0,1073718.0,78.68,0.0,0.0,0.0,79.46,0
1947.0,630028.0,33.2,0.0,0.0,0.0,32.61,1
939.0,321086.0,106.86,0.0,0.0,0.0,105.68,0
2525.0,809145.0,138.21,0.0,0.0,0.0,139.2,0
1904.0,616913.0,30.25,1.06,1.06,3.49,29.21,1
2661.0,851369.0,155.33,1.06,1.06,3.41,153.49,0
941.0,321704.0,106.86,0.0,0.0,0.0,106.67,0
1225.0,409540.0,57.49,0.0,0.0,0.0,57.68,0
3363.0,1070022.0,85.77,0.0,0.0,0.0,86.33,0
598.0,214575.0,187.62,-0.94,0.94,-3.0,188.8,0
2874.0,918124.0,140.22,0.0,0.0,0.0,141.21,0
2579.0,825904.0,119.96,0.0,0.0,0.0,123.01,0
458.0,170522.0,202.7,0.94,0.94,2.99,201.3,0
2624.0,839852.0,129.05,0.94,0.94,3.04,127.47,0
1610.0,527396.0,28.25,-0.94,0.94,-3.09,39.73,1
895.0,307485.0,113.96,-1.05,1.05,-3.37,116.19,0
2996.0,955975.0,31.2,0.0,0.0,0.0,31.2,1
282.0,113959.0,358.06,0.0,0.0,0.0,358.48,0
1721.0,561251.0,28.25,-0.94,0.94,-3.09,29.0,1
1565.0,513628.0,56.42,0.0,0.0,0.0,56.64,0
